ORIGEN_ESTACION,1,2,3,4,5,6,7,8,9,10,11,12,13,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,515
10,6,12,26,33,3,15,2,0,3,82,0,8,1,1,11,1,26,8,4,1,1,6,0,2,23,4,6,0,3,0,13,8,6,13,6,1,6,8,2,6,2,1,2,12,4,17,0,0,1,0,2,0,25,0,3,1,2,5,45,3,6,9,0,0,0,9,3,1,2,3,11,0,0,10,2,1,40,0,5,1,2,4,0,1,3,3,5,3,0,0,5,0,6,0,0,0,0,0,0,0,2,1,4,0,5,1,0,27,3,0,0,0,5,17,5,3,1,1,0,0,2,0,2,0,13,0,6,65,5,2,3,5,1,7,0,1,0,8,0,0,3,0,1,17,10,4,44,8,25,3,1,0,3,1,0,0,1,0,3,0,4,0,7,2,3,0,0,2,3,7,3,2,8,0,0,0,2,0,5,1,1,1,1,0,2,0,2,3,2,0,1,3,0,0,1,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,48,38,10,7,7,6,3,0,56,4,0,109,36,11,10,7,6,16,3,2,28,11,8,7,23,35,1,0,89,3,4,29,26,9,7,8,11,3,0,7,21,8,15,2,5,5,1,17,8,7,7,3,8,2,0,8,18,8,10,10,9,36,6,4,0,12,4,1,6,3,4,1,6,18,8,16,12,0,1,2,30,10,17,1,1,7,10,29,1,0,10,1,4,3,0,0,1,1,2,15,0,0,3,0,3,2,1,13,0,1,0,9,41,3,0,32,0,2,3,2,8,2,3,0,1,0,7,37,4,1,12,7,1,0,0,0,0,36,2,0,5,0,1,10,10,6,3,1,1,3,0,0,17,0,0,0,6,3,3,11,1,9,36,0,2,0,21,3,0,2,18,3,1,0,0,0,1,0,12,0,0,0,0,0,35,2,4,10,34,0,0,0,1,0,0,0
13,12,5,3,0,15,6,9,0,9,1,0,15,50,13,9,16,15,2,10,3,2,2,23,21,0,18,12,18,10,5,4,27,6,2,2,3,11,2,13,6,36,6,6,3,5,10,3,1,2,8,3,7,1,1,8,1,13,5,5,4,0,10,7,14,0,13,0,6,7,6,2,11,28,22,17,1,5,3,3,18,10,12,15,18,8,23,2,8,43,8,28,1,6,16,0,0,3,10,0,0,4,2,24,2,1,2,9,2,8,3,0,0,13,0,30,5,17,12,2,3,1,9,5,0,0,3,1,12,4,0,32,1,8,1,4,5,8,31,2,8,10,0,16,2,7,5,1,2,0,1,10,6,2,4,0,2,1,11,13,48,2,17,1,32,19,1,6,9,8,4,4,2,1,0,1,4,3,1,7,2,0,7,5,0,1,0,6,3,4,6,2,2,4,0,4,0
14,62,38,3,2,115,5,4,0,60,1,0,25,21,418,4,9,2,2,34,1,4,5,3,36,2,15,3,12,34,17,1,17,6,1,0,1,12,0,4,0,27,69,5,1,1,1,0,23,2,5,1,17,7,73,0,80,50,4,2,0,11,12,68,29,0,2,4,30,2,1,1,12,2,10,1,2,3,2,0,19,1,2,13,2,7,2,37,17,7,1,2,11,3,19,0,0,13,38,5,32,19,0,2,0,1,14,3,3,6,24,0,14,16,0,2,11,1,19,16,21,55,26,2,0,0,10,7,8,0,64,13,3,32,1,0,0,0,12,28,9,15,14,0,2,5,2,0,0,0,0,7,1,72,4,20,177,133,19,4,10,0,21,18,12,1,3,10,4,2,2,2,0,1,32,0,0,18,23,3,0,0,1,6,2,5,6,7,1,22,7,0,0,2,0,3,0
16,4,8,19,16,1,30,8,0,3,26,0,7,14,2,67,5,32,19,0,4,4,20,14,4,18,12,12,4,5,2,6,12,41,8,9,2,6,9,3,20,9,0,20,60,45,13,3,2,5,1,14,0,15,0,28,0,0,25,5,10,40,1,3,2,0,10,0,0,12,25,13,3,11,11,3,1,17,4,49,1,8,6,5,5,3,4,0,1,12,1,14,2,17,0,0,0,1,1,0,1,1,3,0,1,6,1,1,44,9,0,0,1,7,26,6,1,2,0,1,1,1,0,4,0,5,1,5,29,11,0,6,34,1,22,4,0,1,24,1,0,8,0,13,17,26,5,25,8,10,18,1,4,3,0,0,0,0,0,3,6,55,1,1,3,14,0,4,6,27,25,2,11,4,0,1,0,2,0,10,0,2,0,0,0,3,0,6,3,1,1,0,2,0,0,1,0
17,4,2,0,1,15,1,0,0,22,0,0,8,25,12,4,175,10,2,16,4,0,2,6,26,0,5,33,68,13,20,0,32,0,0,9,1,2,1,3,1,8,5,3,8,1,2,3,0,5,20,0,18,1,2,0,4,32,0,3,0,1,9,12,17,0,3,3,8,1,1,0,37,8,32,11,0,1,9,0,47,4,5,15,8,16,5,2,9,8,6,24,3,2,25,0,0,7,5,0,0,9,1,6,0,2,5,13,2,1,10,0,1,5,10,12,6,11,25,5,10,5,4,0,1,0,9,0,4,3,1,37,1,10,1,1,0,16,20,10,27,9,2,15,1,8,2,1,2,0,3,34,5,4,3,2,4,5,20,11,24,0,19,4,26,7,1,9,12,2,0,2,8,4,0,5,5,27,0,2,1,10,6,7,5,2,7,2,0,7,16,1,0,7,0,2,0
18,7,9,15,2,6,23,36,0,14,13,0,12,17,5,19,11,124,4,1,7,4,17,33,0,12,17,22,8,5,2,4,11,9,3,13,3,9,7,7,10,23,0,2,57,8,3,7,2,5,4,3,4,2,0,31,9,7,7,10,1,1,4,3,6,0,14,2,1,12,16,35,5,7,32,9,6,25,10,33,10,15,12,4,26,5,5,3,0,37,5,21,0,10,10,0,1,1,5,0,0,1,6,10,3,10,2,10,9,24,1,0,6,6,46,27,4,12,2,1,2,3,0,13,0,0,0,6,19,13,0,6,13,2,4,8,12,5,35,3,6,5,1,29,27,52,13,87,17,12,12,6,7,2,12,2,1,0,11,6,5,21,7,3,13,34,0,4,9,27,19,4,12,8,1,3,3,1,0,29,2,2,2,2,1,0,0,7,1,2,3,6,3,0,0,6,0
19,20,6,4,10,3,2,2,0,4,6,0,16,2,4,12,4,4,45,3,1,21,10,5,4,13,11,1,1,13,1,11,17,15,24,32,4,12,10,0,2,15,1,8,3,4,4,0,2,3,1,4,0,12,1,0,5,9,5,6,12,14,20,4,1,0,6,1,2,5,2,2,0,3,3,1,3,1,0,1,0,5,8,3,1,6,1,3,5,3,0,7,1,5,2,0,0,0,0,0,1,2,0,0,1,1,0,0,6,6,2,0,7,17,1,0,5,2,1,0,3,0,0,4,0,1,0,5,30,20,0,1,16,0,0,0,0,0,10,2,1,6,0,1,4,9,5,2,0,1,2,2,0,1,0,0,1,3,1,0,1,0,5,1,1,6,0,1,2,3,0,10,4,2,4,1,1,2,0,1,0,0,0,1,0,3,1,1,2,4,2,1,1,0,0,0,0
20,4,2,0,0,28,1,1,0,10,0,0,3,3,40,2,13,1,1,93,1,5,22,1,17,1,5,2,6,2,10,1,6,0,0,0,0,0,0,0,1,6,7,1,0,0,0,0,5,1,1,0,7,0,24,0,69,7,1,0,0,0,1,18,22,0,0,2,24,1,0,0,4,0,3,0,2,0,4,0,10,2,1,3,4,7,0,1,2,3,0,2,17,0,3,0,0,13,8,12,2,23,0,0,0,0,10,2,0,0,19,0,11,2,1,4,6,0,5,14,21,14,37,0,7,0,7,1,0,0,11,2,0,24,0,0,5,2,1,45,0,2,18,1,3,2,0,0,0,0,0,1,2,9,2,10,30,11,3,1,6,0,7,4,10,1,0,2,12,2,0,2,0,0,0,1,1,2,20,0,0,0,0,2,0,1,1,0,4,8,5,0,0,0,0,0,0
